name,gender,birth_date,country,discipline,function,event
AGHAKOUCHEKI Abbas,Male,7/23/1959,Islamic Republic of Iran,Wheelchair Basketball,Coach,Men
AKIN Ahmet,Male,11/7/1974,Turkey,Wheelchair Basketball,Coach,Men
AKPWEH Toussaint,Male,11/1/1966,France,Football 5-a-side,Coach,Men
ARIMA Masato,Male,3/8/1980,Japan,Wheelchair Basketball,Coach,
BAN Nicole,Female,4/20/1987,Canada,Sitting Volleyball,Coach,Women
BARGUEIRAS MARTINEZ Jesus David,Male,4/28/1983,Spain,Football 5-a-side,Coach,Men
BHANIA Haj,Male,7/24/1960,Great Britain,Wheelchair Basketball,Coach,
BOUTIBA Saad,Male,2/19/1969,Algeria,Goalball,Coach,Men
BRAHIMI Mustapha,Male,5/9/1957,Algeria,Wheelchair Basketball,Coach,Men
CARRION RUIZ Abraham,Male,11/10/1977,Spain,Wheelchair Basketball,Coach,Women
CHEN Qi,Male,3/18/1976,People's Republic of China,Wheelchair Basketball,Coach,Women
CHOUDHRY Gaz,Male,6/23/1985,Great Britain,Wheelchair Basketball,Coach,Men
CORR Peter,Male,7/17/1958,Australia,Goalball,Coach,Women
COTE Patrick,Male,3/31/1983,Canada,Wheelchair Rugby,Coach,Mixed
CUSIN Olivier,Male,3/25/1972,France,Wheelchair Rugby,Coach,Mixed
CZECHOWSKI Jake,Male,12/13/1976,United States of America,Goalball,Coach,Women
de RICK Johan,Male,5/30/1971,Belgium,Goalball,Coach,Men
DEMONTE Martin,Male,4/15/1975,Argentina,Football 5-a-side,Coach,Men
DO NASCIMENTO CARDOSO Ana Lucia,Female,3/8/1972,Colombia,Wheelchair Basketball,Coach,Men
DUBBERLEY Brad,Male,6/28/1981,Australia,Wheelchair Rugby,Coach,Mixed
DUBROVIN Anton,Male,5/4/1993,Ukraine,Goalball,Coach,Men
DUBROVIN Fedir,Male,5/11/1967,Ukraine,Goalball,Coach,Men
DUCHARME Marc Antoine,Male,8/27/1979,Canada,Wheelchair Basketball,Coach,Women
EDRIS Gharib,Male,5/26/1963,Egypt,Sitting Volleyball,Coach,
EL MOUNTAQI Driss,Male,2/18/1966,Morocco,Football 5-a-side,Coach,Men
ELAIUTY Mosaad,Male,11/14/1972,Egypt,Sitting Volleyball,Coach,Men
ELIA GIMENO Raul,Male,9/28/1966,Spain,Wheelchair Basketball,Coach,
ELTAYEB Hani,Male,4/28/1978,Egypt,Goalball,Coach,Women
FAREBROTHER Trent,Male,9/14/1960,Canada,Goalball,Coach,Women
FERIANI Matteo,Male,9/15/1974,Canada,Wheelchair Basketball,Coach,Men
FISHER Simon,Male,1/1/1900,Great Britain,Wheelchair Basketball,Coach,Women
FREITAS DO NASCIMENTO Dailton,Male,9/12/1966,Brazil,Goalball,Coach,Women
FRIDAY Craig,Male,6/13/1972,Australia,Wheelchair Basketball,Coach,Men
FRIDAY Craig,Male,6/13/1972,Australia,Wheelchair Basketball,Coach,Women
FURNESS Shane,Male,9/4/1972,Australia,Wheelchair Basketball,Coach,
GECEVICIUS Valdas,Male,1/5/1961,Lithuania,Goalball,Coach,Men
GUEDES DANTAS Jose,Male,9/4/1974,Brazil,Sitting Volleyball,Coach,Women
GUENTHER Johannes,Male,3/9/1982,Germany,Goalball,Coach,Men
GUMBERT James,Male,11/18/1963,United States of America,Wheelchair Rugby,Coach,Mixed
HAMITER William,Male,11/6/1959,United States of America,Sitting Volleyball,Coach,Women
HRUSTEMOVIC Mirza,Male,1/10/1959,Bosnia and Herzegovina,Sitting Volleyball,Coach,Men
ICHIKAWA Kyoichi,Male,9/1/1976,Japan,Goalball,Coach,Women
IWASA Yoshiaki,Male,1/6/1958,Japan,Wheelchair Basketball,Coach,Women
JOHNSON Lawrence,Male,12/6/1963,United States of America,Wheelchair Basketball,Coach,Women
KARASU Gultekin,Male,7/2/1974,Turkey,Goalball,Coach,Women
KIM Hyun Woo,Male,10/31/1995,Republic of Korea,Wheelchair Basketball,Coach,
KO Kwangyub,,,Republic of Korea,,,
KO Kwangyub,Male,1/1/1900,Republic of Korea,Wheelchair Basketball,Coach,Men
KONGDANPRAI Kongkiat,Male,1/23/1963,Thailand,Football 5-a-side,Coach,Men
KRYVENKO Kseniia,Female,12/22/1991,Ukraine,Sitting Volleyball,Coach,
KUBO Yoshihiro,Male,3/13/1989,Japan,Sitting Volleyball,Coach,Men
KUDO Rikiya,Male,6/11/1981,Japan,Goalball,Coach,Men
KYOYA Kazuyuki,Male,8/13/1971,Japan,Wheelchair Basketball,Coach,Men
LAWRENCE Matt,Male,8/16/1982,Great Britain,Goalball,Coach,
LAWRENCE Matt,Male,8/16/1982,Great Britain,Wheelchair Basketball,Coach,
LYKINS Ron,Male,2/26/1961,United States of America,Wheelchair Basketball,Coach,Men
MANO Yoshihisa,Male,2/15/1965,Japan,Sitting Volleyball,Coach,Women
MEDIATO Celio,Male,6/7/1966,Brazil,Sitting Volleyball,Coach,Men
MERTEN Michael,Male,1/12/1969,Germany,Sitting Volleyball,Coach,Men
MIKAMI Yukako,Female,2/24/1978,Japan,Goalball,Coach,
MITCHELL Greg,Male,9/19/1979,New Zealand,Wheelchair Rugby,Coach,Mixed
NABIEV Ilkam,Male,11/6/1962,RPC,Goalball,Coach,Women
NOHL Dennis,Male,10/9/1987,Germany,Wheelchair Basketball,Coach,Women
NSENGIYUMVA Jean Marie,Male,10/24/1967,Rwanda,Sitting Volleyball,Coach,Women
ORR Kevin,Male,6/29/1968,Japan,Wheelchair Rugby,Coach,Mixed
OVSYANNIKOV Aleksandr,Male,8/19/1971,RPC,Sitting Volleyball,Coach,Men
OVSYANNIKOV Aleksandr,Male,8/19/1971,RPC,Sitting Volleyball,Coach,Women
PASCIARI Guido,Male,8/28/1956,Italy,Sitting Volleyball,Coach,
PISKOVA Yuliia,Female,10/20/1998,Ukraine,Sitting Volleyball,Coach,
RADMORE Colin,Male,2/27/1984,Great Britain,Goalball,Coach,
RADMORE Colin,Male,2/27/1984,Great Britain,Wheelchair Basketball,Coach,
REGIER Jason,Male,2/8/1975,Denmark,Wheelchair Rugby,Coach,Mixed
RENCBER Salih,Male,4/24/1976,Turkey,Goalball,Coach,Men
REZAEI Hadi,Male,12/10/1960,Islamic Republic of Iran,Sitting Volleyball,Coach,Men
RIBEIRO Amauri,Male,1/23/1959,Italy,Sitting Volleyball,Coach,Women
RIBEIRO de VASCONCELOS Fabio,Male,7/22/1974,Brazil,Football 5-a-side,Coach,Men
SHAW Paul,Male,5/5/1971,Great Britain,Wheelchair Rugby,Coach,Mixed
SHOHAM Raz,Male,12/24/1967,Israel,Goalball,Coach,Women
TAGHICHE Ahmed,Male,10/2/1976,Algeria,Wheelchair Basketball,Coach,Women
TAKADA Satoshi,Male,4/21/1967,Japan,Football 5-a-side,Coach,Men
TANG Qun,Female,3/18/1966,People's Republic of China,Goalball,Coach,Women
TAPIA LOPEZ Genoveva,Female,6/8/1986,Spain,Wheelchair Basketball,Coach,
TOSIM Alessandro,Male,11/27/1975,Brazil,Goalball,Coach,Men
TRIGO DIEZ Oscar,Male,1/1/1900,Spain,Wheelchair Basketball,Coach,Men
van der LINDEN Gertjan,Male,11/4/1966,Netherlands,Wheelchair Basketball,Coach,Women
XU Huimin,Female,6/25/1975,People's Republic of China,Sitting Volleyball,Coach,Women
XU Yufei,Male,12/13/1968,People's Republic of China,Football 5-a-side,Coach,Men
YE Jing,Female,11/27/1982,People's Republic of China,Sitting Volleyball,Coach,Men
YIN Shiqiang,Male,1/28/1979,People's Republic of China,Goalball,Coach,Men
YOUNG Keith,Male,12/15/1973,United States of America,Goalball,Coach,Men
ZELTINGER Nicolai,Male,11/4/1971,Germany,Wheelchair Basketball,Coach,Men
