Country,Total
People's Republic of China,207
Great Britain,124
United States of America,104
RPC,118
Netherlands,59
Ukraine,98
Brazil,72
Australia,80
Italy,69
Azerbaijan,19
Japan,51
Germany,43
Islamic Republic of Iran,24
France,54
Spain,36
Uzbekistan,19
Poland,25
Hungary,16
Switzerland,14
Mexico,22
New Zealand,12
Israel,9
Canada,21
India,19
Thailand,18
Slovakia,11
Belarus,7
Tunisia,11
Algeria,12
Morocco,11
Belgium,15
Ireland,7
Nigeria,10
South Africa,7
Cuba,6
Jordan,5
Colombia,24
Venezuela,7
Malaysia,5
Denmark,5
Republic of Korea,24
Turkey,15
Indonesia,9
Czech Republic,8
Chile,6
Serbia,6
Norway,4
Singapore,2
Austria,9
Sweden,8
Greece,11
Finland,5
Kazakhstan,5
United Arab Emirates,3
Costa Rica,2
Ecuador,3
Cyprus,2
Sri Lanka,2
Ethiopia,1
Mongolia,1
Pakistan,1
Peru,1
Argentina,9
Egypt,7
Croatia,7
Latvia,5
Georgia,3
"Hong Kong, China",5
Bulgaria,2
Iraq,3
Kuwait,2
Namibia,2
Romania,2
Slovenia,2
Vietnam,1
Lithuania,3
Portugal,2
Bosnia and Herzegovina,1
El Salvador,1
Kenya,1
Saudi Arabia,1
Montenegro,1
Oman,1
Qatar,1
Chinese Taipei,1
Uganda,1
